SNo,Advertisement No.,Title,Publish Date,Download Link
41,AIIMS/Deoghar/Admin/Network Coverage/2023-24/13,Expression of Interest (EOI),07-06-2024 01:53 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/eoi_draft_07062024_012503674.pdf
42,AIIMS/DEO/Safety Device/Ceiling Fan/2024-25/32,Providing and fixing of safe fan device for ceiling fans in hostels of AIIMS Deoghar,08-08-2024 05:42 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/safety_device_for_ceiling_fans_tendernotice_08082024_051311537.pdf
43,AIIMS/DEO/Mess Services/2022-23/12,Mess Services,14-04-2023 05:35 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/messservices_28082024_125734715.pdf
44,AIIMS/DEO/HIRING OF VEHICLE/2023-24/13,Providing Services of Hired Commercial vehicles,30-04-2023 01:15 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/vehicle123.pdf
45,AIIMS/DEO/PRINTING ITEMS/2022-23/07,Printing Items for various Departments,15-04-2023 12:08 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/itemsprint.pdf
46,AIIMS/DEO/HOSPITAL KITCHEN/2022-23/11,Tender for Patient Kitchen Services,13-04-2023 02:05 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/kitchentender.pdf
47,AIIMS/DEO/MANPOWER/2022-23/10,Outsourcing of Manpower,11-04-2023 02:38 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/manpowerfinaltende.pdf
48,AIIMS/Deoghar/Orthopedic/2022-23/08,Rate Contract for Supply of Orthopedic Implant,22-03-2023 04:56 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/21ortho.pdf
49,AIIMS/DEO/Mechanized & Automated Cleaning/2022-23/06,"Notice inviting tender for “mechanized & automated Cleaning works” at AIIMS, Deoghar",09-03-2023 03:15 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/CLEANING_202303091515893.pdf
50,AIIMS/DEO/ENT/2022-23/04,Tender for Provision of Audiology & Speech Rehabilitation Room For Aiims Deoghar,04-01-2023 04:52 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/Soft%20Copy%20of%20Audiometry%20LAB%20ENT_202301041652582.pdf
51,GEM/2022/B/2800623,Sternal Saw,30-11-2022 06:51 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-4071321_202211301851686.pdf
